status,message,whaleName,depID,tagOnHours,pct_resting,pct_traveling,pct_foraging,pct_exploring,prhPath,folder,file,nSamples,nDives,nValidLunges
OK,,mn180227-45,mn180227-45,0.249333333,10.79545455,5.648395722,21.78030303,61.7758467,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180227-45 (Antarctic)/mn180227-45 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180227-45 (Antarctic),mn180227-45 10Hzprh,16618,5,9
OK,,mn180227-46,mn180227-46,27.22383333,11.31473852,19.88137437,5.394680723,63.40920639,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180227-46 (Antarctic)/mn180227-46 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180227-46 (Antarctic),mn180227-46 10Hzprh,985239,337,467
OK,,mn180227-47,mn180227-47,0.258138889,2.539545895,24.09340364,0,73.36705047,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180227-47 (Antarctic)/mn180227-47 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180227-47 (Antarctic),mn180227-47 10Hzprh,17068,3,0
OK,,mn180228-47,mn180228-47,21.19116667,7.239651742,7.106865806,26.79877098,58.85471148,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180228-47 (Antarctic)/mn180228-47 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180228-47 (Antarctic),mn180228-47 10Hzprh,849978,351,962
OK,,mn180302-27,mn180302-27,20.07741667,11.06633074,4.814143032,16.8634743,67.25605192,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180302-27 (Antarctic)/mn180302-27 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180302-27 (Antarctic),mn180302-27 10Hzprh,731371,174,306
OK,,mn180302-47,mn180302-47,24.49661111,6.483549879,19.22907704,16.80391165,57.48346143,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180302-47 (Antarctic)/mn180302-47 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180302-47 (Antarctic),mn180302-47 10Hzprh,890795,296,781
OK,,mn190106-40,mn190106-40,27.15883333,6.883784486,9.526877893,16.93975154,66.64958608,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190106-40 (Antarctic)/mn190106-40 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190106-40 (Antarctic),mn190106-40 10Hzprh,984604,403,920
OK,,mn190203-22,mn190203-22,33.04930556,11.7531466,7.981004812,0.816793091,79.44905549,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190203-22 (Antarctic)/mn190203-22 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190203-22 (Antarctic),mn190203-22 10Hzprh,1221459,205,211
OK,,mn190203-23,mn190203-23,10.53347222,13.19260031,8.392294405,1.376827837,77.03827745,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190203-23 (Antarctic)/mn190203-23 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190203-23 (Antarctic),mn190203-23 10Hzprh,386197,70,38
OK,,mn190205-27,mn190205-27,24.54827778,11.732776,20.34652804,10.72987695,57.190819,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190205-27 (Antarctic)/mn190205-27 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190205-27 (Antarctic),mn190205-27 10Hzprh,893112,463,211
OK,,mn190205-40,mn190205-40,37.56477778,2.029900941,32.62874797,6.036017783,59.30533331,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190205-40 (Antarctic)/mn190205-40 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190205-40 (Antarctic),mn190205-40 10Hzprh,1361372,803,205
OK,,mn190212-27,mn190212-27,6.996638889,3.804604592,20.63808416,9.238562961,66.31874829,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190212-27 (Antarctic)/mn190212-27 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190212-27 (Antarctic),mn190212-27 10Hzprh,259406,131,83
OK,,mn190212-40,mn190212-40,6.026027778,0.453587908,31.2404062,19.9610947,48.3449112,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190212-40 (Antarctic)/mn190212-40 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190212-40 (Antarctic),mn190212-40 10Hzprh,265735,140,104
OK,,mn190215-40,mn190215-40,14.95341667,11.09891273,7.487883668,22.76161338,58.65159022,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190215-40 (Antarctic)/mn190215-40 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190215-40 (Antarctic),mn190215-40 10Hzprh,547296,135,274
