Tag_ID,Deployment_Date,Year,Month,Month_Name,Year_Month,Latitude,Longitude,Calf? ,Tag-on Duration (hrs),Resting (%),Traveling (%),Foraging (%),Exploring (%),Resting (hrs),Traveling (hrs),Foraging (hrs),Exploring (hrs),Group,Notes,,
mn190309-44b,2019-03-09 00:00:00,2019,3,March,2019-03,-62.5385,-64.8623,,22.607,12.08720996,20.0822754,0,67.83051464,2.732555556,4.54,0,15.33444444,Individual,These  need to be analyzed for lunges still ,,
mn200204-44,2020-02-04 00:00:00,2020,2,February,2020-02,-64.1971,-64.9048,,12.07019444,3.079440403,9.514943835,16.53913336,70.86648241,0.371694444,1.148472222,1.996305556,8.553722222,Individual,,,
mn200204-52,2020-02-04 00:00:00,2020,2,February,2020-02,-64.19,-64.8928,,22.5165,3.484975216,11.37511504,17.12657631,68.01333343,0.784694444,2.561277778,3.856305556,15.31422222,Individual,,,
mn200219-52,2020-02-19 00:00:00,2020,2,February,2020-02,-64.0809,-64.7838,,8.916944444,2.293386499,5.607924987,10.28379178,81.81489673,0.2045,0.500055556,0.917,7.295388889,Individual,,,
mn200312-58,2020-03-12 00:00:00,2020,3,March,2020-03,-61.6299,-64.5042,,3.844805556,4.752443773,15.67338328,23.330901,56.24327195,0.182722222,0.602611111,0.897027778,2.162444444,Individual,,,
mn200312-71,2020-03-12 00:00:00,2020,3,March,2020-03,-61.6276,-64.4995,,4.879555556,4.887740231,0.285772839,57.33958011,37.48690682,0.2385,0.013944444,2.797916667,1.829194444,Individual,,,
mn200313-59,2020-03-13 00:00:00,2020,3,March,2020-03,-61.6429,-64.4946,,25.32838889,10.68410282,11.34179697,35.34681111,42.6272891,2.706111111,2.872694444,8.952777778,10.79680556,Individual,,,
mn200313-60,2020-03-13 00:00:00,2020,3,March,2020-03,-61.6142,-64.5019,,13.57777778,13.58653846,7.742839607,28.54459902,50.12602291,1.84475,1.051305556,3.875722222,6.806,Individual,,,
mn200313-62,2020-03-13 00:00:00,2020,3,March,2020-03,-61.6417,-64.5348,,,,,,,,,,,Individual,No prh data; probably a good idea to ditch this deployment,,
mn200313-70,2020-03-13 00:00:00,2020,3,March,2020-03,-61.6345,-64.4945,,18.30158333,11.46197126,2.218387298,35.35683767,50.96280376,0.856,4.597888889,6.566861111,6.278138889,Individual,,,
mn200315-54,2020-03-15 00:00:00,2020,3,March,2020-03,-62.2002,-64.6978,,18.29888889,4.677879653,25.12660149,35.88666586,34.308853,0.444833333,1.488111111,0,3.254555556,Individual,These  need to be analyzed for lunges still ,,
mn200315-58,2020-03-15 00:00:00,2020,3,March,2020-03,-61.9919,-64.5738,,5.1875,8.575100402,28.68647925,0,62.73842035,1.420888889,0.707972222,6.367333333,4.410805556,Individual,,,
mn200315-70,2020-03-15 00:00:00,2020,3,March,2020-03,-62.2009,-64.6979,,12.907,11.00866885,5.485180307,49.33240361,34.17374723,0.040083333,0.047083333,0,0.184333333,Individual,These  need to be analyzed for lunges still ,,
mn200315-71,2020-03-15 00:00:00,2020,3,March,2020-03,-62.0014,-64.5984,,0.2715,14.76365869,17.34192756,0,67.89441375,0.836638889,1.069472222,0,6.263805556,Individual,These  need to be analyzed for lunges still ,,
mn220221-65,2022-02-21 00:00:00,2022,2,February,2022-02,-63.1551,-64.5406,,8.169916667,10.24048253,13.0903688,0,76.66914867,0.836638889,1.069472222,0,6.263805556,Individual,,,
mn220226-P4,2022-02-26 00:00:00,2022,2,February,2022-02,-62.9583,-64.5139,,2.479472222,5.740468962,36.0213307,0,58.23820033,0.142333333,0.893138889,0,1.444,Individual,,,
mn250131-T6 ,,2025,,,,,,,,,,,,0,0,0,0,,No prh data; probably a good idea to ditch this deployment,,
mn250201-T60,2/1/2026 10:50,2025,,February,,,,,11.94041667,9.468309081,18.35176978,0,72.17992114,1.130555556,2.191277778,0,8.618583333,Individual,These  need to be analyzed for lunges still ,,
mn250203-49 ,2/3/2026 11:21,2025,,February,,,,,9.424138889,13.98123613,32.52316009,0,53.49560378,1.317611111,3.065027778,0,5.0415,Individual,These  need to be analyzed for lunges still ,,
mn250203-66 ,2/3/2026,2025,,February,,,,,57.78433333,7.096598655,14.43792916,9.543965204,68.92150698,4.100722222,8.342861111,5.514916667,39.82583333,Individual,,,
mn250203-67 ,2/3/2026 13:35,2025,,February,,,,,18.09213889,6.428820375,8.595046652,34.13867594,50.83745703,1.163111111,1.555027778,6.176416667,9.197583333,Individual,,,
